0,1,2,3,4
154079,,,,
148741,,,,
148541,,,,
148543,,,,
144429,,,,
147463,,,,
147190,,,,
152369,,,,
150343,,,,
149743,,,,
155020,,,,
150201,,,,
152940,,,,
142154,,,,
144908,,,,
143368,,,,
145371,,,,
143412,,,,
154119,,,,
143413,,,,
152644,,,,
149229,,,,
153579,,,,
154165,,,,
145889,,,,
152295,,,,
150139,,,,
151161,,,,
144895,,,,
153979,,,,
143713,,,,
151840,,,,
152739,,,,
154123,,,,
159203,,,,
146651,,,,
143969,,,,
144894,,,,
144868,,,,
173914,,,,
174806,,,,
148221,,,,
144515,,,,
142908,,,,
148562,,,,
149043,,,,
150899,,,,
153561,,,,
143730,,,,
152488,,,,
146079,,,,
145748,,,,
150501,,,,
152983,,,,
150363,,,,
148799,,,,
151099,,,,
158884,,,,
151420,,,,
154209,,,,
152187,,,,
154101,,,,
147619,,,,
150362,,,,
145578,,,,
149741,,,,
143573,,,,
143749,,,,
148723,,,,
153382,,,,
142654,,,,
154019,,,,
153108,,,,
154041,,,,
147561,,,,
150159,,,,
152022,,,,
146003,,,,
153523,,,,
154000,,,,
145900,,,,
146522,,,,
149045,,,,
142308,,,,
153110,,,,
150607,,,,
149459,,,,
148939,,,,
153699,,,,
150119,,,,
153532,,,,
146523,,,,
154343,,,,
144819,,,,
145309,,,,
144088,,,,
154340,,,,
143388,,,,
142855,,,,
153463,,,,
146260,,,,
149042,,,,
153907,,,,
144588,,,,
158921,,,,
152401,,,,
153082,,,,
151446,,,,
146245,,,,
149799,,,,
154167,,,,
151699,,,,
151439,,,,
152021,,,,
153109,,,,
144970,,,,
152188,,,,
153259,,,,
144648,,,,
151481,,,,
153799,,,,
142309,,,,
174427,,,,
174729,,,,
176509,,,,
174978,,,,
175864,,,,
176010,,,,
176044,,,,
176223,,,,
176354,,,,
152368,,,,
149628,,,,
150259,,,,
145428,,,,
144076,,,,
144011,,,,
154503,,,,
152771,,,,
151380,,,,
144288,,,,
159042,,,,
148999,,,,
150172,,,,
143968,,,,
152548,,,,
150524,,,,
145468,,,,
152046,,,,
148499,,,,
149141,,,,
153820,,,,
147460,,,,
147982,,,,
152899,,,,
149843,,,,
146740,,,,
145949,,,,
153733,,,,
150440,,,,
154199,,,,
145891,,,,
153529,,,,
142632,,,,
153729,,,,
153480,,,,
153703,,,,
150579,,,,
153099,,,,
151260,,,,
154680,,,,
146379,,,,
146361,,,,
154164,,,,
150999,,,,
145250,,,,
146364,,,,
153460,,,,
145159,,,,
152639,,,,
150479,,,,
151820,,,,
149000,,,,
152247,,,,
141850,,,,
146327,,,,
153380,,,,
152944,,,,
143808,,,,
150122,,,,
144428,,,,
152585,,,,
149742,,,,
153728,,,,
144188,,,,
145961,,,,
145160,,,,
154799,,,,
146285,,,,
150123,,,,
151299,,,,
171275,,,,
171643,,,,
171764,,,,
174841,,,,
174822,,,,
174865,,,,
145952,,,,
145948,,,,
154459,,,,
154419,,,,
149250,,,,
143869,,,,
152984,,,,
